Id,Label,timeset, char_name, char_desc,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality,Authority,Hub
11,'Reverend Timothy Lovejoy',,'Reverend Timothy Lovejoy',"'Reverend Timothy \""Tim\"" Lovejoy is a recurring character in the animated television series The Simpsons. He is voiced by Harry Shearer",79,290,2,0.534558,0.564648,0.001264,1,0.005102,0,0.405063,1248,0.327225,0.085525,0.085525
12,'Apu Nahasapeemapetilon',,'Apu Nahasapeemapetilon',"'Apu Nahasapeemapetilon is a fictional character in the animated television series The Simpsons. He is voiced by Hank Azaria and first appeared in the episode \""The Telltale Head\"". Apu is the proprietor of the Kwik-E-Mart",101,457,2,0.545049,0.582651,0.002534,0,0.006506,0,0.345545,1745,0.383051,0.100342,0.100342
13,'Sideshow Bob',,'Sideshow Bob','Robert Underdunk Terwilliger,67,178,2,0.529004,0.554828,0.000945,1,0.004378,0,0.413388,914,0.277658,0.072091,0.072091
14,'Jebediah Springfield',,'Jebediah Springfield','Jebediah Obadiah Zachariah Jedediah Springfield is the founder of the town of Springfield. He is voiced by Harry Shearer. According to legend,22,31,3,0.508319,0.517458,0.000038,0,0.001556,0,0.774892,179,0.138509,0.035674,0.035675
16,'Luann Van Houten',,'Luann Van Houten','Luann Van Houten is voiced by Maggie Roswell. For the period from 1999 to 2002,36,88,2,0.515177,0.52946,0.000154,1,0.002435,0,0.650794,410,0.198032,0.051291,0.051292
17,'Atkins,,'Atkins, State Comptroller',9,9,3,0.481481,0.492089,0,0,0.000746,0,1,36,0.062042,0.016356,0.016357
18,'Mary Bailey',,'Mary Bailey',"'Mary Bailey is the governor of Springfield\'s state. She is voiced by Maggie Roswell. She ran against Mr. Burns in \""Two Cars in Every Garage and Three Eyes on Every Fish\""",14,19,3,0.504959,0.510911,0.000007,2,0.001108,0,0.879121,80,0.097078,0.024395,0.024396
19,'Dave Shutton',,'Dave Shutton','Dave Shutton,10,14,3,0.503295,0.507638,0.000003,2,0.000856,0,0.866667,39,0.080173,0.019912,0.019913
20,"'Birchibald \""Birch\"" T. Barlow'",,"'Birchibald \""Birch\"" T. Barlow'",'The Simpsons includes a large array of supporting characters: co-workers,12,12,2,0.504959,0.50982,0,2,0.000959,0,1,66,0.086578,0.022016,0.022017
21,'Jasper Beardly',,'Jasper Beardly','Jasper Beardly,51,107,2,0.521776,0.541735,0.000247,0,0.003223,0,0.681569,869,0.273076,0.071795,0.071796
22,'Benjamin,,'Benjamin, Doug,12,14,3,0.504125,0.509274,0.000011,1,0.001008,0,0.863636,57,0.096525,0.024207,0.024207
23,'Bill and Marty',,'Bill and Marty','Bill and Marty are two radio show hosts and DJs on Springfield\'s own radio station KBBL. Bill is middle-aged and balding,17,22,3,0.506214,0.513366,0.000008,0,0.001242,0,0.889706,121,0.11755,0.030036,0.030037
24,'Blinky',,'Blinky',"'Blinky is a three-eyed orange fish featured primarily in \""Two Cars in Every Garage and Three Eyes on Every Fish\"". Likely mutated by toxic waste from the Springfield Nuclear Power Plant pouring into the river",11,14,3,0.50371,0.508456,0.000004,2,0.000919,0,0.890909,49,0.085967,0.021443,0.021443
25,'Otto Mann',,'Otto Mann','Otto Mann is a fictional character on the animated TV series The Simpsons,75,250,2,0.532694,0.561375,0.000883,0,0.00472,0,0.464144,1288,0.327992,0.086003,0.086003
26,'Sherri and Terri',,'Sherri and Terri','Sherri and Terri Mackleberry,20,41,3,0.507475,0.515821,0.000047,0,0.001445,0,0.794737,151,0.138192,0.035412,0.035413
27,'Chief Clancy Wiggum',,'Chief Clancy Wiggum','Chief Clancy Wiggum is a fictional character from the animated television series The Simpsons,173,955,2,0.582459,0.641571,0.010952,0,0.011443,0,0.178922,2662,0.498681,0.129161,0.12916
28,'Blue Haired Lawyer',,'Blue Haired Lawyer',"'Mr. Burns\' Lawyer also known as \""The Blue-Haired Lawyer\"" is Springfield\'s most prominent and powerful lawyer. He first appeared in the second season episode \""Bart Gets Hit by a Car\"". He is known for his blue hair and nasal New York accent. He also occasionally appears to serve as a prosecutor. Unlike Lionel Hutz or Gil Gunderson",20,28,3,0.507475,0.515821,0.000032,1,0.001462,0,0.726316,138,0.120989,0.030767,0.030768
29,'Lionel Hutz',,'Lionel Hutz','Lionel Hutz,51,126,2,0.521776,0.541735,0.0004,1,0.003311,0,0.552157,704,0.248866,0.064878,0.064879
30,'Dr. Nick Riveria',,'Dr. Nick Riveria','Dr. Nick Riviera,42,98,2,0.517797,0.53437,0.000127,1,0.002686,0,0.736353,634,0.238049,0.062349,0.062349
31,'Boobarella',,'Boobarella','Boobarella is a buxom television host who speaks with a Romanian accent. She is a parody of Cassandra Peterson\'s character Elvira,20,24,2,0.508319,0.516367,0.000015,2,0.001422,0,0.889474,169,0.12329,0.031748,0.031749
32,'Wendell Borton',,'Wendell Borton',"'Wendell Borton is a perpetually nauseated and very pale boy with worried eyes and curly hair. He first appears in \""Simpsons Roasting on an Open Fire\"" although his first speaking appearance is in \""Homer\'s Odyssey\"". He becomes especially sick on field trips",21,25,3,0.507897,0.516639,0.000011,2,0.001468,0,0.890476,187,0.142491,0.036606,0.036607
33,'Patty Bouvier',,'Patty Bouvier','Patty and Selma Bouvier are twins and are both voiced by Julie Kavner. They are Marge Simpson\'s older twin sisters,113,582,2,0.550947,0.592471,0.003185,1,0.007285,0,0.299305,1894,0.402506,0.105262,0.105262
34,'Selma Bouvier',,'Selma Bouvier','Patty and Selma Bouvier are twins and are both voiced by Julie Kavner. They are Marge Simpson\'s older twin sisters,143,826,2,0.566265,0.617021,0.005862,1,0.009247,0,0.228208,2317,0.455117,0.118555,0.118555
35,'Mr. Burns',,"'Charles Montgomery \""Monty\"" Burns'","'Charles Montgomery \""Monty\"" Burns",225,1286,2,0.612839,0.684124,0.021771,2,0.015419,0,0.12131,3057,0.564008,0.144508,0.144506
36,'Ned Flanders',,'Ned Flanders',"'Nedward \""Ned\"" Flanders",178,864,2,0.585249,0.645663,0.012363,1,0.01206,0,0.166571,2624,0.501147,0.129521,0.12952
37,'Todd Flanders',,'Todd Flanders','Todd Flanders is Ned Flanders\' ten-year-old son,38,64,2,0.516047,0.531097,0.000071,2,0.002447,0,0.779516,548,0.228214,0.059589,0.059589
38,'Barney Gumble',,'Barney Gumble',"'Barnard \""Barney\"" Gumble is a character on the American animated sitcom The Simpsons. The character is voiced by Dan Castellaneta and first appeared in the series premiere episode \""Simpsons Roasting on an Open Fire\"". He is the town drunk of Springfield",114,578,2,0.551444,0.59329,0.003605,2,0.007428,0,0.295451,1903,0.403714,0.10553,0.10553
39,'Dewey Largo',,'Dewey Largo','Dewey Largo,21,30,3,0.507897,0.516639,0.000005,2,0.001462,0,0.942857,198,0.14607,0.037608,0.037609
40,'Lewis Jackson',,'Lewis Jackson','Lewis Jackson is an African American character and one of Bart\'s friends and classmates at Springfield Elementary School. He can be seen playing the bassoon in the opening sequence of the show. Although one of the most minor characters in the show,18,18,3,0.506633,0.514184,0,2,0.001285,0,1,153,0.134186,0.034408,0.034408
41,'Santa\'s Little Helper',,'Santa\'s Little Helper','Santa\'s Little Helper is the pet greyhound of the Simpson family. The dog was introduced in the first episode of the show,100,422,2,0.544563,0.581833,0.002455,2,0.006487,0,0.320606,1587,0.369407,0.096287,0.096287
42,'Principal Seymour Skinner',,'Principal Seymour Skinner','Seymour Skinner is voiced by Harry Shearer. Born in Capitol City in 1953,180,1016,2,0.586372,0.6473,0.011164,0,0.011869,0,0.171012,2755,0.512715,0.132824,0.132823
43,'Waylon Smithers',,'Waylon Smithers','Waylon J. Smithers,118,584,2,0.553442,0.596563,0.004141,2,0.007737,0,0.273794,1890,0.40409,0.105437,0.105437
44,'Snowball',,'Snowball','The Simpson family are cartoon characters featured in the animated television series The Simpsons. The Simpsons are a nuclear family consisting of married couple Homer and Marge and their three children Bart,71,181,2,0.530843,0.558101,0.000751,2,0.004458,0,0.468008,1163,0.312967,0.081952,0.081952
45,'Moe Szyslak',,'Moe Szyslak',"'Moe Szyslak is voiced by Hank Azaria and first appeared in the series premiere episode \""Simpsons Roasting on an Open Fire\"". Moe is the proprietor and bartender of Moe\'s Tavern",179,1110,2,0.58581,0.646481,0.011958,2,0.011886,0,0.169606,2702,0.505082,0.130631,0.13063
46,'Milhouse Van Houten',,'Milhouse Van Houten','Milhouse Mussolini Van Houten is voiced by Pamela Hayden. He is Bart Simpson\'s best friend in Mrs. Krabappel\'s fourth grade class at Springfield Elementary School. He is smart and loyal,217,1248,2,0.60796,0.677578,0.018426,0,0.014583,0,0.131294,3077,0.561723,0.144415,0.144414
47,'Jacqueline Bouvier',,'Jacqueline Bouvier','The Simpson family are cartoon characters featured in the animated television series The Simpsons. The Simpsons are a nuclear family consisting of married couple Homer and Marge and their three children Bart,8,11,2,0.503295,0.506547,0.000001,1,0.000727,0,0.928571,26,0.076199,0.018889,0.01889
48,'Bleeding Gums Murphy',,'Bleeding Gums Murphy',"'\""Bleeding Gums\"" Murphy",22,34,2,0.509167,0.518003,0.000038,1,0.001567,0,0.74026,171,0.136055,0.034824,0.034825
49,'Ling Bouvier',,'Ling Bouvier','The Simpson family are cartoon characters featured in the animated television series The Simpsons. The Simpsons are a nuclear family consisting of married couple Homer and Marge and their three children Bart,10,10,3,0.503295,0.507638,0,1,0.000867,0,1,45,0.084587,0.021093,0.021093
50,'Kent Brockman',,'Kent Brockman',"'Kent Brockman is a fictional character in the animated television series The Simpsons. He is voiced by Harry Shearer and first appeared in the episode \""Krusty Gets Busted\"". He is a grumpy",89,319,2,0.539276,0.572831,0.001722,2,0.005695,0,0.385853,1511,0.355378,0.093095,0.093095
51,'Scott Christian',,'Scott Christian','Scott Christian is a newsreader from the early seasons of the show. Originally,11,11,2,0.504542,0.509002,0,1,0.000885,0,1,55,0.085739,0.02184,0.021841
52,'Judge Roy Snyder',,'Judge Roy Snyder','Judge Roy Snyder,31,51,2,0.513014,0.525368,0.000184,1,0.0022,0,0.610753,284,0.16966,0.043706,0.043707
53,'Bumblebee Man',,'Bumblebee Man',"'The Bumblebee Man is the star of a Mexican Spanish-language television sitcom on \""Channel Ocho\""",36,56,2,0.515177,0.52946,0.000043,2,0.002301,0,0.82381,519,0.219539,0.057413,0.057414
54,'Capital City Goofball',,'Capital City Goofball','The Capital City Goofball is the mascot for Capital City. His appearance seems to have been inspired by the mascot of the Philadelphia Phillies baseball team,3,3,3,0.494737,0.498091,0,2,0.000512,0,1,3,0.023518,0.005761,0.005762
55,'Carl Carlson',,'Carl Carlson',"'Lenford \""Lenny\"" Leonard and Carlton \""Carl\"" Carlson are supporting characters in the Fox animated series The Simpsons",135,818,2,0.562098,0.610475,0.005719,2,0.008948,0,0.222996,2017,0.4241,0.110139,0.110139
56,'Princess Kashmir',,'Princess Kashmir',"'Princess Kashmir is the belly dancer who first appears in \""Homer\'s Night Out\"". She dated Apu in \""Lisa\'s Pony",6,6,3,0.50082,0.503819,0,3,0.000638,0,1,15,0.057875,0.014266,0.014267
57,'Crazy Cat Lady',,'Crazy Cat Lady','Eleanor Abernathy,28,47,2,0.511725,0.522913,0.000039,2,0.00187,0,0.793651,300,0.174656,0.045372,0.045373
58,'Superintendent Gary Chalmers',,'Superintendent Gary Chalmers','Superintendent Gary Chalmers,70,257,2,0.530382,0.557283,0.001206,0,0.004502,0,0.484058,1169,0.313972,0.082335,0.082336
59,'Comic Book Guy',,'Comic Book Guy','Comic Book Guy is the common,93,341,2,0.541187,0.576105,0.001969,2,0.00597,0,0.367461,1572,0.363652,0.095202,0.095202
60,'Mrs. Glick',,'Mrs. Glick',"'Alice Glick is an elderly shut-in for whom Bart did chores in \""Three Men and a Comic Book\""; he didn\'t get paid very well",27,36,2,0.511297,0.522095,0.000006,0,0.001781,0,0.920228,323,0.181245,0.047126,0.047127
61,'Mr. Costington',,'Mr. Costington','Mr. Costington,20,28,3,0.507475,0.515821,0.000035,4,0.001469,0,0.736842,140,0.128319,0.032724,0.032724
62,'Database',,'Database','Database,28,49,2,0.511725,0.522913,0.000045,0,0.001878,0,0.791005,299,0.172049,0.044629,0.044629
63,'Declan Desmond',,'Declan Desmond','Declan Desmond is an odd and skeptical English documentary filmmaker who has directed several films,14,21,2,0.505795,0.511457,0.000002,1,0.001077,0,0.956044,87,0.118288,0.03006,0.030061
64,'Disco Stu',,'Disco Stu','Disco Stu,19,25,2,0.507897,0.515548,0.000009,2,0.001355,0,0.877193,150,0.131015,0.033559,0.033559
65,'Lunchlady Doris',,'Lunchlady Doris','Lunchlady Doris Freedman,17,22,3,0.506214,0.513366,0,2,0.001224,0,1,136,0.140859,0.036207,0.036207
66,'Duffman',,'Duffman','Duffman,42,83,2,0.517797,0.53437,0.000161,2,0.002706,0,0.686411,591,0.228964,0.059845,0.059846
67,'Eddie and Lou',,'Eddie and Lou','Eddie voiced by Harry Shearer) and Lou voiced by Hank Azaria) are Springfield police officers. Lou is the most intelligent of the Springfield police. Lou is the police sergeant and a competent officer of the Springfield Police. He is a foil to Chief Wiggum,26,49,2,0.51087,0.521277,0.000105,4,0.001872,0,0.643077,209,0.152222,0.038929,0.038929
68,'Dr. Marvin Monroe',,'Dr. Marvin Monroe',"'Dr. Marvin Monroe is a psychotherapist who first appeared in the first season episode \""There\'s No Disgrace Like Home\"". Homer pawns the family television in order to afford a session with Monroe for him and his dysfunctional family. The failed attempt at therapy culminates with the Simpsons electroshocking each other endlessly",21,36,2,0.508743,0.517185,0.00002,4,0.001485,0,0.809524,170,0.139576,0.035696,0.035697
70,'The Rich Texan',,'The Rich Texan',"'Richard \""Rich\"" Texan",46,124,2,0.519558,0.537643,0.000209,2,0.00297,0,0.6657,689,0.250251,0.065525,0.065526
71,'Fat Tony',,'Fat Tony',"'Marion Anthony \""Fat Tony\"" D\'Amico is a recurring character in the animated sitcom The Simpsons. He is voiced by Joe Mantegna and first appeared in the third season episode \""Bart the Murderer\"". Fat Tony is a gangster and the underboss of the Springfield Mafia. His henchmen include Legs",72,182,2,0.531304,0.55892,0.001938,1,0.004991,0,0.361894,925,0.284145,0.07362,0.073621
72,'Legs and Louie',,'Legs and Louie','Legs,7,7,3,0.501231,0.504637,0,1,0.000694,0,1,21,0.057586,0.014202,0.014202
73,'Maude Flanders',,'Maude Flanders','Maude Flanders,29,73,3,0.511297,0.523186,0.000042,1,0.001927,0,0.76601,311,0.174337,0.045268,0.045268
74,'Rod Flanders',,'Rod Flanders','Rod Flanders is voiced by Pamela Hayden. Rod is Ned Flanders\' twelve-year-old son. Rod prays often; first thing in the morning and last thing before bed. He prays for God to watch over him and his younger brother,7,11,3,0.502054,0.505183,0,1,0.000694,0,1,21,0.07131,0.017563,0.017563
75,"'Mayor \""Diamond Joe\"" Quimby'",,"'Mayor \""Diamond Joe\"" Quimby'","'Mayor Joseph \""Joe\"" Quimby",137,537,2,0.563134,0.612111,0.00606,2,0.009004,0,0.238085,2218,0.443552,0.115481,0.115481
76,'Francesca Terwilliger',,'Francesca Terwilliger','Francesca Terwilliger,15,22,2,0.506214,0.512275,0.000004,1,0.001178,0,0.92381,97,0.103482,0.025864,0.025865
77,'Gino',,'Gino','Gino Terwilliger,15,22,2,0.506214,0.512275,0.000004,1,0.001178,0,0.92381,97,0.103482,0.025864,0.025865
78,'Frankie the Squealer',,'Frankie the Squealer','Frankie the Squealer is a member of the Mafia and associate of Fat Tony. However,22,25,2,0.509167,0.518003,0.000059,4,0.001617,0,0.722944,167,0.123068,0.031125,0.031126
79,'Johnny Tightlips',,'Johnny Tightlips','The Simpsons includes a large array of supporting characters: co-workers,33,42,2,0.513877,0.527005,0.000098,0,0.002205,0,0.746212,394,0.195115,0.050575,0.050576
80,'Professor John Frink',,'Professor John Frink','Professor John Nerdelbaum Frink,104,420,2,0.546512,0.585106,0.002632,0,0.006638,0,0.335325,1796,0.389331,0.101882,0.101882
81,'Old Jewish Man',,'Old Jewish Man','Asa,22,34,3,0.508319,0.517458,0.00003,2,0.001542,0,0.809524,187,0.144207,0.037237,0.037238
82,'Baby Gerald',,'Baby Gerald','Gerald Samson,15,17,3,0.505376,0.511729,0.000026,0,0.001145,0,0.87619,92,0.107369,0.027291,0.027292
83,'Leopold',,'Leopold','Leopold,9,9,3,0.481481,0.492089,0,0,0.000761,0,1,36,0.052749,0.013806,0.013806
84,'Luigi',,'Luigi','Luigi Risotto,32,49,2,0.513445,0.526187,0.000072,0,0.002092,0,0.792339,393,0.194083,0.050505,0.050505
85,'Ginger Flanders',,'Ginger Flanders',"'Ned Flanders\'s \""Vegas wife.\""'",7,7,3,0.501231,0.504637,0,1,0.000752,0,1,21,0.041455,0.010154,0.010154
86,'Amber Simpson',,'Amber Simpson','The Simpson family are cartoon characters featured in the animated television series The Simpsons. The Simpsons are a nuclear family consisting of married couple Homer and Marge and their three children Bart,7,7,3,0.501231,0.504637,0,1,0.000752,0,1,21,0.041455,0.010154,0.010154
87,'Gloria',,'Gloria','Gloria,19,25,3,0.506633,0.51473,0.000022,1,0.001386,0,0.812865,139,0.114431,0.029371,0.029371
88,'Gil Gunderson',,'Gil Gunderson','Gil Gunderson,31,60,3,0.512154,0.524823,0.000064,1,0.002045,0,0.713978,332,0.180444,0.046916,0.046917
89,'Cookie Kwan',,'Cookie Kwan',"'Cookie Kwan is an Asian American real estate broker who first appears in the Season 9 Simpsons episode \""Realty Bites\"". She is the stereotypical competitive woman. She touts herself as being \""number one on the West Side\""",26,37,2,0.51087,0.521277,0.000011,0,0.001729,0,0.861538,280,0.168231,0.043554,0.043554
90,'The Happy Little Elves',,'The Happy Little Elves','The Happy Little Elves are a parody of The Smurfs,6,6,3,0.501642,0.504364,0,1,0.000645,0,1,15,0.065022,0.015865,0.015865
91,'Itchy and Scratchy',,'Itchy and Scratchy','The Itchy and Scratchy Show is a fictional animated television series which is featured in the animated television series The Simpsons. It usually appears as a part of The Krusty the Clown Show,90,262,2,0.539753,0.57365,0.00432,1,0.005927,0,0.371286,1487,0.352806,0.092302,0.092303
92,'Grampa Abraham Simpson',,'Grampa Abraham Simpson',"'Abraham Jay-Jedediah \""Abe\"" Simpson",83,222,2,0.536435,0.567921,0.001567,1,0.00546,0,0.373788,1272,0.330603,0.0862,0.0862
93,'Judge Constance Harm',,'Judge Constance Harm','Judge Constance Harm,30,60,2,0.512584,0.52455,0.000122,1,0.002099,0,0.62069,270,0.16443,0.042297,0.042297
94,'Herman Hermann',,'Herman Hermann','The Simpsons includes a large array of supporting characters: co-workers,7,7,3,0.502054,0.505183,0,1,0.000691,0,1,21,0.068199,0.016787,0.016787
95,'Nelson Muntz',,'Nelson Muntz',"'Nelson Muntz is a fictional character and the lead school bully from the animated TV series The Simpsons. He is voiced by Nancy Cartwright. Nelson was introduced in Season 1\'s \""Bart the General\"" as an antagonist but later turned into one of Bart Simpson\'s best friends. He is well known for his signature laugh \""Haw Haw!\""'",123,765,2,0.55596,0.600655,0.004109,0,0.007927,0,0.271758,2039,0.420282,0.109744,0.109744
96,'Janey Powell',,'Janey Powell','Janey Powell,7,7,3,0.502054,0.505183,0,1,0.000691,0,1,21,0.068199,0.016787,0.016787
98,'Dr. Julius Hibbert',,'Dr. Julius Hibbert','Dr. Julius M. Hibbert,107,492,2,0.547982,0.587561,0.003105,1,0.006946,0,0.295539,1676,0.381248,0.099378,0.099377
99,'Captain Lance Murdock',,'Captain Lance Murdock',"'Captain Lance Murdock is a professional stunt devil who appeared more in the early days of the show rather than the newer episodes. He first appeared in \""Bart the Daredevil\"" which featured him in more scenes than other episodes. He later appeared in \""I Married Marge\""",9,11,3,0.502881,0.506819,0.00001,1,0.000878,0,0.833333,30,0.06019,0.014859,0.01486
100,'Elizabeth Hoover',,'Elizabeth Hoover','Elizabeth Hoover is a second grade teacher at Springfield Elementary,29,49,2,0.512154,0.523732,0.000073,1,0.001975,0,0.758621,308,0.176533,0.045784,0.045785
101,'Rachel Jordan',,'Rachel Jordan','Rachel Jordan is the lead singer of Kovenant,13,17,3,0.504542,0.510093,0.000001,1,0.001002,0,0.961538,75,0.1018,0.025801,0.025802
102,'Kang and Kodos',,'Kang and Kodos',"'Kang and Kodos are a duo of recurring characters in the animated television series The Simpsons. Kang is voiced by Harry Shearer and Kodos by Dan Castellaneta. They are aliens from the fictional planet Rigel VII and appear almost exclusively in the \""Treehouse of Horror\"" episodes. The duo has appeared in at least one segment of all twenty-five Treehouse of Horror episodes. Sometimes their appearance is the focus of a plot",62,156,2,0.526724,0.550736,0.000539,4,0.00391,0,0.511898,968,0.285322,0.074479,0.07448
103,'Edna Krabappel',,'Edna Krabappel','Edna Krabappel is a cartoon character from the animated TV series The Simpsons,89,336,2,0.539276,0.572831,0.001453,0,0.005597,0,0.398876,1562,0.360651,0.094624,0.094625
104,'Martin Prince',,'Martin Prince','The Simpsons includes a large array of supporting characters: co-workers,41,104,2,0.517358,0.533552,0.000172,0,0.002663,0,0.636585,522,0.21427,0.055889,0.05589
105,'Dr. J. Loren Pryor',,'Dr. J. Loren Pryor','Dr. J. Loren Pryor,18,29,3,0.506633,0.514184,0.00001,0,0.001293,0,0.882353,135,0.121944,0.031283,0.031283
106,'Radioactive Man',,'Radioactive Man',"'Radioactive Man is a fictional comic book superhero. The character was heavily featured in the episodes \""Three Men and a Comic Book\"" and \""Radioactive Man\"". Within the Simpsons universe",32,54,2,0.513445,0.526187,0.000221,2,0.002281,0,0.578629,287,0.168012,0.043138,0.043138
107,'Rabbi Hyman Krustofski',,'Rabbi Hyman Krustofski',"'Hyman Krustofski is the father of Krusty the Clown who first appeared in the third season episode \""Like Father",20,23,2,0.508319,0.516367,0.000031,2,0.001424,0,0.889474,169,0.143161,0.036708,0.036709
108,'Lois Pennycandy',,'Lois Pennycandy','Lois Pennycandy is the executive assistant to Krusty the Clown. She swayed Krusty into visiting Bart after he saved Krusty from jail time,7,7,3,0.490763,0.497545,0,1,0.000659,0,1,21,0.05273,0.013336,0.013336
109,'Mr. Teeny',,'Mr. Teeny','The Simpsons includes a large array of supporting characters: co-workers,31,57,2,0.513014,0.525368,0.000101,1,0.002102,0,0.683871,318,0.175305,0.045256,0.045257
110,'Krusty the Clown',,'Krusty the Clown','Herschel Shmoikel Pinchas Yerucham Krustofski better known as Krusty the Clown,204,906,2,0.600196,0.666939,0.021887,1,0.013995,0,0.138994,2878,0.532143,0.136697,0.136696
112,'Lenny Leonard',,'Lenny Leonard',"'Lenford \""Lenny\"" Leonard and Carlton \""Carl\"" Carlson are supporting characters in the Fox animated series The Simpsons",140,892,2,0.564695,0.614566,0.005885,2,0.009194,0,0.224769,2187,0.441526,0.114877,0.114877
113,'Helen Lovejoy',,'Helen Lovejoy','For the rhetorical appeal to children\'s interests,40,82,2,0.51692,0.532733,0.000125,0,0.002584,0,0.684615,534,0.220973,0.057649,0.057649
114,'Coach Lugash',,'Coach Lugash','Gymnastics instructor.',19,25,2,0.507897,0.515548,0.000006,0,0.001351,0,0.900585,154,0.132942,0.034076,0.034076
115,'Lurleen Lumpkin',,'Lurleen Lumpkin',"'Lurleen Lumpkin is an aspiring country singer who is initially managed by Homer in \""Colonel Homer\"". Homer discovers her in a redneck bar in the middle of nowhere and is amazed by her voice. He decides to help her launch a singing career",10,13,3,0.503295,0.507638,0.000002,1,0.000861,0,0.955556,43,0.086643,0.021622,0.021622
116,'Captain Horatio McCallister',,'Captain Horatio McCallister','Captain McCallister,9,9,3,0.502881,0.506819,0,1,0.00079,0,1,36,0.076049,0.018869,0.018869
117,'Ruth Powers',,'Ruth Powers','Ruth Powers is the Simpsons\' next-door neighbor,17,28,3,0.506214,0.513366,0.000009,1,0.001247,0,0.875,119,0.121687,0.031132,0.031133
118,'Roger Meyers',,'Roger Meyers','Roger Meyers,19,35,2,0.507897,0.515548,0.000043,1,0.001431,0,0.707602,121,0.113685,0.028812,0.028812
119,'Sideshow Mel',,'Sideshow Mel','Melvin Van Horne,61,207,2,0.52627,0.549918,0.000349,2,0.003776,0,0.590164,1080,0.300495,0.078971,0.078972
120,'Troy McClure',,'Troy McClure',"'Troy McClure was a fictional character in the American animated sitcom The Simpsons. He was voiced by Phil Hartman and first appears in the second season episode \""Homer vs. Lisa and the 8th Commandment\"". McClure is a washed-up actor",48,105,2,0.520443,0.53928,0.000279,1,0.003115,0,0.618794,698,0.250906,0.065549,0.06555
121,'Sanjay Nahasapeemapetilon',,'Sanjay Nahasapeemapetilon','Sanjay Nahasapeemapetilon,9,9,3,0.502881,0.506819,0,1,0.000779,0,1,36,0.082038,0.020481,0.020481
122,'Hans Moleman',,'Hans Moleman','Hans Moleman is a recurring character in the animated television series The Simpsons. He is voiced by Dan Castellaneta,55,144,2,0.523565,0.545008,0.000264,0,0.003421,0,0.678114,1007,0.290177,0.076409,0.07641
123,'Groundskeeper Willie',,'Groundskeeper Willie','Groundskeeper Willie is a recurring character on The Simpsons,111,579,2,0.549955,0.590835,0.003336,0,0.007259,0,0.295823,1806,0.394048,0.102816,0.102816
124,'Lindsey Naegle',,'Lindsey Naegle',"'Lindsey Naegle is voiced by Tress MacNeille and first appeared in the eighth season episode \""The Itchy and Scratchy and Poochie Show\"". In that episode",54,123,2,0.523116,0.54419,0.000386,1,0.003464,0,0.587002,840,0.271919,0.0712,0.071201
